DersKodu;DersAdi;DersiVeren;DersUzunluk;AKTS;OgrSayisi;AcildigiProgram;Donem
INM-314-50-50-2018;Yapý Ýþletme ve Þantiye Tekniði;Doç.Dr. Rýza POLAT;3;4;69;Ýnþaat Mühendisliði Programý;6
IM-304-50-50;Zemin Mekaniði II;Doç.Dr. Semet ÇELÝK;3;NULL;2;Ýnþaat Mühendisliði Programý;6
INM-304-50-50;Zemin Mekaniði II;Doç.Dr. Semet ÇELÝK;3;5;60;Ýnþaat Mühendisliði Programý;6
IM-306-50-50;Demiryolu ve Toprak Ýþleri;Doç.Dr. Osman Ünsal BAYRAK;3;NULL;1;Ýnþaat Mühendisliði Programý;6
INM-306-50-50;Demiryolu ve Toprak Ýþleri;Doç.Dr. Osman Ünsal BAYRAK;4;5;65;Ýnþaat Mühendisliði Programý;6
INM-204-50-50;Topoðrafya;Doç.Dr. Mahmut KILIÇ;3;4;48;Ýnþaat Mühendisliði Programý;4
IM-206-50-50-KREDÝ;Akýþkanlar Mekaniði;NULL;3;5;0;Ýnþaat Mühendisliði Programý;4
INM-206-50-50-AKTSb;Akýþkanlar Mekaniði;Dr. Öðr. Üyesi Selim ÞENGÜL;3;5;59;Ýnþaat Mühendisliði Programý;4
MUH-SAY-50-50;Sayýsal Yöntemler;Dr. Öðr. Üyesi Fatma KARAGÖL;3;4;54;Ýnþaat Mühendisliði Programý;4
INM-106-50-50;Bilgisayar Destekli Teknik Resim;Dr. Öðr. Üyesi Ahmet ATALAY;3;4;50;Ýnþaat Mühendisliði Programý;2
MF-USS-50-mak;Giriþimcilik II;NULL;2;3;0;Ýnþaat Mühendisliði Programý;8
MF-USS-50-elek;Dijital Okuryazarlýk;NULL;2;3;0;Ýnþaat Mühendisliði Programý;8
MF-USS-50-elek;Bilim Tarihi;NULL;2;3;0;Ýnþaat Mühendisliði Programý;8
MUH-USS-50-elek;Bilim Tarihi;NULL;2;3;0;Ýnþaat Mühendisliði Programý;8
MUH-USS-50-mak;Giriþimcilik II;NULL;2;3;0;Ýnþaat Mühendisliði Programý;8
MUH-USS-50-elek;Dijital Okuryazarlýk;NULL;2;3;0;Ýnþaat Mühendisliði Programý;8
IMS-202-50-50-KREDÝ;Ulaþtýrma Planlamasýna Giriþ;Prof.Dr. Ahmet TORTUM;3;4;4;Ýnþaat Mühendisliði (Ý.Ö.) Programý;4
IMS-202-50-50-kredi;Yapýlarýn Yalýtým ve Korunmasý;NULL;3;4;0;Ýnþaat Mühendisliði (Ý.Ö.) Programý;4
INS-202-50-50-AKTS;Ulaþtýrma Planlamasýna Giriþ;Prof.Dr. Ahmet TORTUM;3;4;12;Ýnþaat Mühendisliði (Ý.Ö.) Programý;4
ÝNS-202-50-50-AKTS;Yapýlarýn Yalýtým ve Korunmasý;Dr. Öðr. Üyesi Fatma KARAGÖL;3;4;15;Ýnþaat Mühendisliði (Ý.Ö.) Programý;4
MF-USS-50-mak;Giriþimcilik II;NULL;2;3;0;Ýnþaat Mühendisliði (Ý.Ö.) Programý;8
IMS-402-50-50-KREDÝ;Hasar Gören Yapýlarýn Güçlendirilmesi;Prof.Dr. Abdulkadir Cüneyt AYDIN;3;4;7;Ýnþaat Mühendisliði (Ý.Ö.) Programý;8
IMS-402-50-50-KREDÝ;Özel Betonlar;Doç.Dr. Meral OLTULU;3;4;6;Ýnþaat Mühendisliði (Ý.Ö.) Programý;8
MF-USS-50-elek;Dijital Okuryazarlýk;NULL;2;3;0;Ýnþaat Mühendisliði (Ý.Ö.) Programý;8
INS-402-50-50-AKTS;Hasar Gören Yapýlarýn Güçlendirilmesi;Prof.Dr. Abdulkadir Cüneyt AYDIN;3;4;6;Ýnþaat Mühendisliði (Ý.Ö.) Programý;8
INS-402-50-50-AKTS;Özel Betonlar;Doç.Dr. Meral OLTULU;3;4;8;Ýnþaat Mühendisliði (Ý.Ö.) Programý;8
MUH-USS-50-mak;Giriþimcilik II;NULL;2;3;0;Ýnþaat Mühendisliði (Ý.Ö.) Programý;8
MUH-USS-50-elek;Dijital Okuryazarlýk;NULL;2;3;0;Ýnþaat Mühendisliði (Ý.Ö.) Programý;8
MUH-USS-50-elek;Bilim Tarihi;NULL;2;3;0;Ýnþaat Mühendisliði (Ý.Ö.) Programý;8
MF-USS-50-Elek;Bilim Tarihi;NULL;2;3;0;Ýnþaat Mühendisliði (Ý.Ö.) Programý;8
CMS-202-50-50-KREDÝ;Zemin Mekaniði;Prof.Dr. Filiz Nuran ACAR;3;4;0;Çevre Mühendisliði Programý;4
CMS-402-50-50;Küçük Arýtým Sistemleri;Dr. Öðr. Üyesi Fatma EKMEKYAPAR TORUN;3;5;2;Çevre Mühendisliði Programý;8
CVS-202-50-50-AKTS;Zemin Mekaniði;Prof.Dr. Filiz Nuran ACAR;3;4;0;Çevre Mühendisliði Programý;4
MM-208-50-50;Mukavemet II;Doç.Dr. Sinan SEZEK;3;NULL;3;Makine Mühendisliði Programý;4
MM-204-50-50;Sayýsal Yöntemler;Prof.Dr. Ömer GÜNDOÐDU;3;NULL;2;Makine Mühendisliði Programý;4
MF-USS-50-ELEK;Dijital Okuryazarlýk;NULL;2;3;0;Makine Mühendisliði Programý;8
MF-USS-50-ELEK;Bilim Tarihi;NULL;2;3;0;Makine Mühendisliði Programý;8
MUH- USS-50-ELEK;Dijital Okuryazarlýk;NULL;2;3;0;Makine Mühendisliði Programý;8
MUH-USS-50-ELEK;Bilim Tarihi;NULL;2;3;0;Makine Mühendisliði Programý;8
MM-206-50-50;Akýþkanlar Mekaniði I;Dr. Öðr. Üyesi Ahmet Numan ÖZAKIN;3;NULL;2;Makine Mühendisliði Programý;4
MF-USS-50-50-KREDÝ;Giriþimcilik II;Prof.Dr. Recep SADELER;2;3;16;Makine Mühendisliði (Ý.Ö.) Programý;8
MF-USS-50-ELEK;Dijital Okuryazarlýk;NULL;2;3;0;Makine Mühendisliði (Ý.Ö.) Programý;8
MUH-USS-50-50-AKTS;Giriþimcilik II;Prof.Dr. Recep SADELER;2;3;43;Makine Mühendisliði (Ý.Ö.) Programý;8
MUH-USS-50-ELEK;Dijital Okuryazarlýk;NULL;2;3;0;Makine Mühendisliði (Ý.Ö.) Programý;8
MUH-USS-50-ELEK;Bilim Tarihi;NULL;2;3;0;Makine Mühendisliði (Ý.Ö.) Programý;8
MF-USS-50-ELEK;Bilim Tarihi;NULL;2;3;0;Makine Mühendisliði (Ý.Ö.) Programý;8
 EES-302-50-50;Enerji Üretim, Ýletim ve Daðýtým Sistemleri;Dr. Öðr. Üyesi Muhammed Fatih ÇORAPSIZ;3;NULL;4;Elektrik-Elektronik Mühendisliði Programý;6
EES-302-50-50-AKTS;Enerji Üretim, Ýletim ve Daðýtým Sistemleri;Dr. Öðr. Üyesi Muhammed Fatih ÇORAPSIZ;3;4;77;Elektrik-Elektronik Mühendisliði Programý;6
 EES-402-50-50;Aydýnlatma Tekniði;Dr. Öðr. Üyesi Miraç Dilruba GEYÝKOÐLU;3;NULL;2;Elektrik-Elektronik Mühendisliði Programý;8
EES-402-50-50-KREDÝ;Nanoelektroniðe Giriþ;Prof.Dr. Mehmet ERTUÐRUL;3;4;5;Elektrik-Elektronik Mühendisliði Programý;8
EES-402-50-50-AKTS;Nanoelektroniðe Giriþ;Prof.Dr. Mehmet ERTUÐRUL;3;4;10;Elektrik-Elektronik Mühendisliði Programý;8
EES-402-50-50;Aydýnlatma Tekniði;Dr. Öðr. Üyesi Miraç Dilruba GEYÝKOÐLU;3;4;14;Elektrik-Elektronik Mühendisliði Programý;8
EEM-102-50-50;Elektrik Devre Temelleri;Dr. Öðr. Üyesi Emin Argun ORAL;4;7;64;Elektrik-Elektronik Mühendisliði Programý;2
EE-102-50-50;Fundamentals Of Elect. Cýrcuýts;Dr. Öðr. Üyesi Emin Argun ORAL;4;7;1;Elektrik-Elektronik Mühendisliði Programý;2
EEM-212-50-50;Analog Elektronik Laboratuvarý;Dr. Öðr. Üyesi Gökhan ÖZTÜRK;2;2;41;Elektrik-Elektronik Mühendisliði Programý;4
EEM-104-50-50;Bilgisayar Programlama II;Öðr.Gör. Atakan ABUÞOÐLU;3;5;66;Elektrik-Elektronik Mühendisliði Programý;2
MF-USS-50-MAK.;Giriþimcilik II;NULL;2;3;0;Elektrik-Elektronik Mühendisliði Programý;8
MF-USS-50-50-KREDÝ;Dijital Okuryazarlýk;Arþ.Gör.Dr. Merve ACAR;2;3;10;Elektrik-Elektronik Mühendisliði Programý;8
MF-USS-50-50-KREDÝ;Bilim Tarihi;Prof.Dr. Mehmet ERTUÐRUL;2;3;7;Elektrik-Elektronik Mühendisliði Programý;8
MUH-USS-50-MAK;Giriþimcilik II;NULL;2;3;0;Elektrik-Elektronik Mühendisliði Programý;8
MUH-USS-50-50-AKTS;Dijital Okuryazarlýk;Arþ.Gör.Dr. Merve ACAR;2;3;53;Elektrik-Elektronik Mühendisliði Programý;8
MUH-USS-50-50-AKTS;Bilim Tarihi;Prof.Dr. Mehmet ERTUÐRUL;2;3;43;Elektrik-Elektronik Mühendisliði Programý;8
EES-302-50-50;Enerji Üretim, Ýletim ve Daðýtým Sistemleri;Dr. Öðr. Üyesi Muhammed Fatih ÇORAPSIZ;3;NULL;3;Elektrik-Elektronik Mühendisliði (Ý.Ö.) Programý;6
EES-302-50-50;Enerji Üretim, Ýletim ve Daðýtým Sistemleri;Dr. Öðr. Üyesi Muhammed Fatih ÇORAPSIZ;3;4;77;Elektrik-Elektronik Mühendisliði (Ý.Ö.) Programý;6
MF-USS-50-MAK;Giriþimcilik II;NULL;2;3;0;Elektrik-Elektronik Mühendisliði (Ý.Ö.) Programý;8
EES-402-50-50-KREDÝ;Nanoelektroniðe Giriþ;Prof.Dr. Mehmet ERTUÐRUL;3;4;4;Elektrik-Elektronik Mühendisliði (Ý.Ö.) Programý;8
EES-402-50-50;Aydýnlatma Tekniði;Dr. Öðr. Üyesi Miraç Dilruba GEYÝKOÐLU;3;NULL;3;Elektrik-Elektronik Mühendisliði (Ý.Ö.) Programý;8
MF-USS-50-50-KREDÝ;Dijital Okuryazarlýk;Arþ.Gör.Dr. Merve ACAR;2;3;9;Elektrik-Elektronik Mühendisliði (Ý.Ö.) Programý;8
MF-USS-50-50-KREDÝ;Bilim Tarihi;Prof.Dr. Mehmet ERTUÐRUL;2;3;9;Elektrik-Elektronik Mühendisliði (Ý.Ö.) Programý;8
MUH-USS-50-MAK;Giriþimcilik II;NULL;2;3;0;Elektrik-Elektronik Mühendisliði (Ý.Ö.) Programý;8
EES-402-50-50-AKTS;Nanoelektroniðe Giriþ;Prof.Dr. Mehmet ERTUÐRUL;3;4;12;Elektrik-Elektronik Mühendisliði (Ý.Ö.) Programý;8
MUH-USS-50-50-AKTS;Dijital Okuryazarlýk;Arþ.Gör.Dr. Merve ACAR;2;3;49;Elektrik-Elektronik Mühendisliði (Ý.Ö.) Programý;8
EES-402-50-50;Aydýnlatma Tekniði;Dr. Öðr. Üyesi Miraç Dilruba GEYÝKOÐLU;3;4;10;Elektrik-Elektronik Mühendisliði (Ý.Ö.) Programý;8
MUH-USS-50-50-AKTS;Bilim Tarihi;Prof.Dr. Mehmet ERTUÐRUL;2;3;43;Elektrik-Elektronik Mühendisliði (Ý.Ö.) Programý;8
EE-214-50-50;Analog Elektronik Laboratuvarý;Dr. Öðr. Üyesi Gökhan ÖZTÜRK;2;NULL;2;Elektrik-Elektronik Mühendisliði (Ý.Ö.) Programý;4
EEM 212-50-50;Analog Elektronik Laboratuvarý;Dr. Öðr. Üyesi Gökhan ÖZTÜRK;2;2;33;Elektrik-Elektronik Mühendisliði (Ý.Ö.) Programý;4
EMS-302-50-50;Endüstri Mühendisliði Bilgisayar Uygulamalarý;Doç.Dr. Mustafa YILMAZ;3;5;7;Endüstri Mühendisliði Programý;6
EMS-302-50-50-KREDÝ;Çok Ölçütlü Karar Verme Problemleri;Dr. Öðr. Üyesi Erdem AKSAKAL;3;4;8;Endüstri Mühendisliði Programý;6
ENS-302-50-50-AKTS;Çok Ölçütlü Karar Verme Problemleri;Dr. Öðr. Üyesi Erdem AKSAKAL;3;4;47;Endüstri Mühendisliði Programý;6
ENS-302-50-50;Endüstri Mühendisliðinde Bilgisayar Uygulamalarý;Doç.Dr. Mustafa YILMAZ;3;4;51;Endüstri Mühendisliði Programý;6
EMS-402-50-50-KREDÝ;Envanter Planlama;Dr. Öðr. Üyesi Sinan ÖZTAÞ;3;5;4;Endüstri Mühendisliði Programý;8
EMS-402-50-50-KREDÝ;Kurumsal Kaynak Planlamasý;Doç.Dr. Burak ERKAYMAN;3;5;3;Endüstri Mühendisliði Programý;8
ENS-402-50-50-AKTS;Kurumsal Kaynak Planlamasý;Doç.Dr. Burak ERKAYMAN;3;5;8;Endüstri Mühendisliði Programý;8
ENS-402-50-50-AKTS;Envanter Planlama;Dr. Öðr. Üyesi Sinan ÖZTAÞ;3;5;12;Endüstri Mühendisliði Programý;8
MF-USS-50-MAK;Giriþimcilik II;NULL;2;3;0;Endüstri Mühendisliði Programý;8
MF-USS-50-ELEK;Dijital Okuryazarlýk;NULL;2;3;0;Endüstri Mühendisliði Programý;8
MF-USS-50-ELEK;Bilim Tarihi;NULL;2;3;0;Endüstri Mühendisliði Programý;8
MUH-USS-50-MAK;Giriþimcilik II;NULL;2;3;0;Endüstri Mühendisliði Programý;8
MUH- USS-50-ELEK;Dijital Okuryazarlýk;NULL;2;3;0;Endüstri Mühendisliði Programý;8
MUH-USS-50-ELEK;Bilim Tarihi;NULL;2;3;0;Endüstri Mühendisliði Programý;8
EMS-302-50-50;Endüstri Mühendisliði Bilgisayar Uygulamalarý;Doç.Dr. Mustafa YILMAZ;3;5;0;Endüstri Mühendisliði (Ý.Ö.) Programý;6
MF-USS-50-mak;Giriþimcilik II;NULL;2;3;0;Endüstri Mühendisliði (Ý.Ö.) Programý;8
MF-USS-50-elek;Dijital Okuryazarlýk;NULL;2;3;0;Endüstri Mühendisliði (Ý.Ö.) Programý;8
MF-USS-50-elek;Bilim Tarihi;NULL;2;3;0;Endüstri Mühendisliði (Ý.Ö.) Programý;8
EMS-402-50-ö.ö;Kurumsal Kaynak Planlamasý;NULL;3;5;0;Endüstri Mühendisliði (Ý.Ö.) Programý;8
EMS-402-50-50-KREDÝ;Envanter Planlama;Dr. Öðr. Üyesi Sinan ÖZTAÞ;3;5;4;Endüstri Mühendisliði (Ý.Ö.) Programý;8
EMS-302-50-50-KREDÝ;Çok Ölçütlü Karar Verme Problemleri;Dr. Öðr. Üyesi Erdem AKSAKAL;3;4;3;Endüstri Mühendisliði (Ý.Ö.) Programý;6
ENS-302-50-50;Endüstri Mühendisliðinde Bilgisayar Uygulamalarý;Doç.Dr. Mustafa YILMAZ;3;4;12;Endüstri Mühendisliði (Ý.Ö.) Programý;6
ENS-402-50-ö.ö;Kurumsal Kaynak Planlamasý;NULL;3;5;0;Endüstri Mühendisliði (Ý.Ö.) Programý;8
ENS-402-50-50-AKTS;Envanter Planlama;Dr. Öðr. Üyesi Sinan ÖZTAÞ;3;5;12;Endüstri Mühendisliði (Ý.Ö.) Programý;8
MUH-USS-50-mak;Giriþimcilik II;NULL;2;3;0;Endüstri Mühendisliði (Ý.Ö.) Programý;8
MUH-USS-50-elek;Dijital Okuryazarlýk;NULL;2;3;0;Endüstri Mühendisliði (Ý.Ö.) Programý;8
MUH-USS-50-elek;Bilim Tarihi;NULL;2;3;0;Endüstri Mühendisliði (Ý.Ö.) Programý;8
ENM-208-50-50;Yöneylem Araþtýrmalarý I;Dr. Öðr. Üyesi Erdem AKSAKAL;2;4;60;Endüstri Mühendisliði Programý;4
BMS-302-50-50-KREDÝ;Makine Öðrenmesine Giriþ;Dr. Öðr. Üyesi Tolga AYDIN;3;4;1;Bilgisayar Mühendisliði Programý;6
BMS-302-50-50-KREDÝ;Makine Öðrenmesine Giriþ;Dr. Öðr. Üyesi Tolga AYDIN;3;4;1;Bilgisayar Mühendisliði Programý;7
BMS-302-50-50;Yapay Zekaya Giriþ;Dr. Öðr. Üyesi Gülþah TÜMÜKLÜ ÖZYER;3;0;6;Bilgisayar Mühendisliði Programý;6
MF-USS-50-MAK;Giriþimcilik II;NULL;2;3;0;Bilgisayar Mühendisliði Programý;8
BMS-402-50-50;Ýnsan Bilgisayar Etkileþimi;Prof.Dr. Abdulsamet HAÞILOÐLU;3;NULL;2;Bilgisayar Mühendisliði Programý;8
MF-USS-50-ELEK;Dijital Okuryazarlýk;NULL;2;3;0;Bilgisayar Mühendisliði Programý;8
BMS-402-50-50;Mekatroniðe Giriþ;Prof.Dr. Köksal ERENTÜRK;3;3;4;Bilgisayar Mühendisliði Programý;8
BIS-402-50-50;Mekatroniðe Giriþ;Prof.Dr. Köksal ERENTÜRK;3;6;9;Bilgisayar Mühendisliði Programý;8
BIS-402-50-50;Ýnsan Bilgisayar Etkileþimi;Prof.Dr. Abdulsamet HAÞILOÐLU;3;6;10;Bilgisayar Mühendisliði Programý;8
BIS-302-50-50;Yapay Zekaya Giriþ;Dr. Öðr. Üyesi Gülþah TÜMÜKLÜ ÖZYER;3;4;34;Bilgisayar Mühendisliði Programý;6
BIS-302-50-50-AKTS;Makine Öðrenmesine Giriþ;Dr. Öðr. Üyesi Tolga AYDIN;3;4;38;Bilgisayar Mühendisliði Programý;6
BIS-302-50-50-AKTS;Makine Öðrenmesine Giriþ;Dr. Öðr. Üyesi Tolga AYDIN;3;4;38;Bilgisayar Mühendisliði Programý;7
MF-USS-50-ELEK;Bilim Tarihi;NULL;2;3;0;Bilgisayar Mühendisliði Programý;8
MUH- USS-50-MAK;Giriþimcilik II;NULL;2;3;0;Bilgisayar Mühendisliði Programý;8
MUH- USS-50-ELEK;Dijital Okuryazarlýk;NULL;2;3;0;Bilgisayar Mühendisliði Programý;8
MUH-USS-50-ELEK;Bilim Tarihi;NULL;2;3;0;Bilgisayar Mühendisliði Programý;8
BMS-302-50-50-KREDÝ;Makine Öðrenmesine Giriþ;Dr. Öðr. Üyesi Tolga AYDIN;3;4;1;Bilgisayar Mühendisliði (Ý.Ö.) Programý;6
BMS-302-50-50-KREDÝ;Makine Öðrenmesine Giriþ;Dr. Öðr. Üyesi Tolga AYDIN;3;4;1;Bilgisayar Mühendisliði (Ý.Ö.) Programý;7
MF-USS-50-mak;Giriþimcilik II;NULL;2;3;0;Bilgisayar Mühendisliði (Ý.Ö.) Programý;8
BMS-402-50-50;Mekatroniðe Giriþ;Prof.Dr. Köksal ERENTÜRK;3;3;2;Bilgisayar Mühendisliði (Ý.Ö.) Programý;8
MF-USS-50-elek;Dijital Okuryazarlýk;NULL;2;3;0;Bilgisayar Mühendisliði (Ý.Ö.) Programý;8
MF-USS-50-elek;Bilim Tarihi;NULL;2;3;0;Bilgisayar Mühendisliði (Ý.Ö.) Programý;8
BIS-302-50-50;Yapay Zekaya Giriþ;Dr. Öðr. Üyesi Gülþah TÜMÜKLÜ ÖZYER;3;4;28;Bilgisayar Mühendisliði (Ý.Ö.) Programý;6
BIS-302-50-50-AKTS;Makine Öðrenmesine Giriþ;Dr. Öðr. Üyesi Tolga AYDIN;3;4;26;Bilgisayar Mühendisliði (Ý.Ö.) Programý;6
BIS-302-50-50-AKTS;Makine Öðrenmesine Giriþ;Dr. Öðr. Üyesi Tolga AYDIN;3;4;26;Bilgisayar Mühendisliði (Ý.Ö.) Programý;7
MUH-USS-50-mak;Giriþimcilik II;NULL;2;3;0;Bilgisayar Mühendisliði (Ý.Ö.) Programý;8
BIS-402-50-50;Mekatroniðe Giriþ;Prof.Dr. Köksal ERENTÜRK;3;6;15;Bilgisayar Mühendisliði (Ý.Ö.) Programý;8
MUH-USS-50-elek;Dijital Okuryazarlýk;NULL;2;3;0;Bilgisayar Mühendisliði (Ý.Ö.) Programý;8
BIS-402-50-50;Ýnsan Bilgisayar Etkileþimi;Prof.Dr. Abdulsamet HAÞILOÐLU;3;6;12;Bilgisayar Mühendisliði (Ý.Ö.) Programý;8
MUH-USS-50-elek;Bilim Tarihi;NULL;2;3;0;Bilgisayar Mühendisliði (Ý.Ö.) Programý;8
BMS-402-50-50;Ýnsan Bilgisayar Etkileþimi;Prof.Dr. Abdulsamet HAÞILOÐLU;3;NULL;5;Bilgisayar Mühendisliði (Ý.Ö.) Programý;8
 BM-304-50-50;Sinyaller ve Sistemler;Prof.Dr. Köksal ERENTÜRK;3;5;1;Bilgisayar Mühendisliði (Ý.Ö.) Programý;6
BIM-210-50-50;Sinyaller ve Sistemler;Prof.Dr. Köksal ERENTÜRK;3;4;42;Bilgisayar Mühendisliði (Ý.Ö.) Programý;4
BM-102-50-50-KREDÝ;Ayrýk Matematik;Dr. Öðr. Üyesi Ferhat BOZKURT;3;5;2;Bilgisayar Mühendisliði (Ý.Ö.) Programý;2
BIM-102-50-50-AKTS;Ayrýk Matematik;Dr. Öðr. Üyesi Mete YAÐANOÐLU;3;5;54;Bilgisayar Mühendisliði (Ý.Ö.) Programý;2
BM-102-50-50-KREDÝ;Ayrýk Matematik;NULL;3;5;0;Bilgisayar Mühendisliði Programý;2
BIM-102-50-50-AKTS;Ayrýk Matematik;Dr. Öðr. Üyesi Ferhat BOZKURT;3;5;55;Bilgisayar Mühendisliði Programý;2
 BM-304-50-50;Sinyaller ve Sistemler;Prof.Dr. Köksal ERENTÜRK;3;5;1;Bilgisayar Mühendisliði Programý;6
BIM-210-50-50-AKTS;Sinyaller ve Sistemler;Prof.Dr. Köksal ERENTÜRK;3;4;73;Bilgisayar Mühendisliði Programý;4
 BM-304-50-50;Sinyaller ve Sistemler;Dr. Öðr. Üyesi Barýþ ÖZYER;3;5;1;Bilgisayar Mühendisliði Programý;6
OZD-302;Atatürk Ýlkeleri ve Ýnkýlap Tarihi II;Prof.Dr. Tolga BAÞAK;2;2;6;Bilgisayar Mühendisliði Programý;6
MF-TEK-50-50-KREDÝ;Çevre Kirliliðinin kontrolü;Prof.Dr. Ergün YILDIZ;3;4;8;Çevre Mühendisliði Programý;8
MUH-TEK-50-50-AKTS;Çevre Kirliliðinin kontrolü;Prof.Dr. Ergün YILDIZ;3;4;26;Çevre Mühendisliði Programý;8
FIZ-102-50-50;Fizik II;Prof.Dr. Mustafa SAÐLAM;5;NULL;0;Çevre Mühendisliði Programý;2
FIZ-102-50-50-AKTS;Fizik II;Prof.Dr. Muhammet YILDIRIM;5;6;53;Elektrik-Elektronik Mühendisliði Programý;2
EE-406-50-50;Design of Integrated Circuits;Prof.Dr. Hasan EFEOÐLU;3;5;3;Elektrik-Elektronik Mühendisliði Programý;8
MF-TEK-50-50;Endüstriyel Malzeme Seçimi;Prof.Dr. Kadri Vefa EZÝRMÝK;3;0;9;Metalurji ve Malzeme Mühendisliði Programý;8
MMS-302-50-50-KREDÝ;Talaþlý Ýmalat Yöntemleri;Dr. Öðr. Üyesi Sebahattin Yenal VANGÖLÜ;3;5;4;Metalurji ve Malzeme Mühendisliði Programý;6
MF-TEK-50-50;Mühendisler Ýçin Elektrik-Elektronik Bilgisi;Prof.Dr. Ýbrahim Yücel ÖZBEK;3;5;8;Elektrik-Elektronik Mühendisliði (Ý.Ö.) Programý;8
MUH-TEK-50-50;Mühendisler Ýçin Elektrik-Elektronik Bilgisi;Prof.Dr. Ýbrahim Yücel ÖZBEK;3;4;17;Elektrik-Elektronik Mühendisliði (Ý.Ö.) Programý;8
MM-208-60-40;Mukavemet II;Doç.Dr. Sinan SEZEK;3;NULL;1;Makine Mühendisliði Programý;4
MM-302-60-40;Makina Elemanlarý II;Doç.Dr. Halim KOVACI;3;0;2;Makine Mühendisliði Programý;6
MM-304-60-40;Isý Transferi II;Dr. Öðr. Üyesi Faruk YEÞÝLDAL;3;NULL;2;Makine Mühendisliði Programý;6
MM-406-60-40;Enerji Dönüþüm Sistemleri;Prof.Dr. Ýsmail SOLMAZ;3;5;1;Makine Mühendisliði Programý;8
MM-408-60-40;Bitirme Projesi II;Prof.Dr. Yaþar TOTÝK;2;NULL;1;Makine Mühendisliði Programý;8
MMS-402-60-40;Makine Ana Seçmeli Tasarýmý II;Prof.Dr. Yaþar TOTÝK;3;6;1;Makine Mühendisliði Programý;8
MMS-412-60-40;Tahribatsýz Malzeme Muayenesi;Prof.Dr. Ayhan ÇELÝK;3;6;1;Makine Mühendisliði Programý;8
MM-404-60-40;Makine Laboratuvarý II;Dr. Öðr. Üyesi Erdoðan GÜNER;2;4;1;Makine Mühendisliði Programý;8
MF-USS-60-40;Giriþimcilik II;Prof.Dr. Recep SADELER;2;3;1;Makine Mühendisliði Programý;8
EES-402-50-50-KREDÝ;Güç Elektroniði;Doç.Dr. Abdullah BAÞÇÝ;3;4;1;Elektrik-Elektronik Mühendisliði (Ý.Ö.) Programý;8
BIM-104-50-50-B;Nesneye Yönelik Programlama;Dr. Öðr. Üyesi Gülþah TÜMÜKLÜ ÖZYER;5;7;36;Bilgisayar Mühendisliði (Ý.Ö.) Programý;2
BIM-104-50-50-C;Nesneye Yönelik Programlama;Dr. Öðr. Üyesi Ahmet COÞKUNÇAY;5;7;40;Bilgisayar Mühendisliði (Ý.Ö.) Programý;2
BIM-104-50-50-B;Nesneye Yönelik Programlama;Dr. Öðr. Üyesi Gülþah TÜMÜKLÜ ÖZYER;5;7;38;Bilgisayar Mühendisliði Programý;2
BIM-104-50-50-C;Nesneye Yönelik Programlama;Dr. Öðr. Üyesi Ahmet COÞKUNÇAY;5;7;46;Bilgisayar Mühendisliði Programý;2
EM-302-60-40;Yöneylem Araþtýrmasý III;Prof.Dr. Vecihi YÝÐÝT;3;NULL;1;Endüstri Mühendisliði (Ý.Ö.) Programý;6
EMS-302-60-40;Endüstri Mühendisliði Bilgisayar Uygulamalarý;Doç.Dr. Mustafa YILMAZ;3;5;1;Endüstri Mühendisliði (Ý.Ö.) Programý;6
EM-408-60-40;Bitirme Projesi II;Prof.Dr. Cafer ÇELÝK;2;NULL;1;Endüstri Mühendisliði (Ý.Ö.) Programý;8
EM-402-60-40;Yönetim Bilgi Sistemleri;Dr. Öðr. Üyesi Yeþim OK;3;0;1;Endüstri Mühendisliði (Ý.Ö.) Programý;8
EMS-404-60-40;Endüstri Mühendisliði Seçmeli Tasarýmý II;Prof.Dr. Cafer ÇELÝK;3;6;1;Endüstri Mühendisliði (Ý.Ö.) Programý;8
MKM-212-50-50-B-AKTS;Termodinamik II;Dr. Öðr. Üyesi Fadime ÞÝMÞEK;3;4;56;Makine Mühendisliði Programý;4
MM-212-50-50-B;Termodinamik II;Dr. Öðr. Üyesi Fadime ÞÝMÞEK;3;NULL;7;Makine Mühendisliði Programý;4
ENM-206-50-50;Mühendislik Ýstatistiði;Prof.Dr. Cafer ÇELÝK;3;5;46;Endüstri Mühendisliði Programý;4
